00,04,01,01,01,0C,01,01,01,01,0C,01,01,01,01,01,01,01,05,00,00,00,00,00,00,00,00,00,00,04,01,01,01,0C,01,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,02,00,00,00,02,00,00,00,00,0E,01,01,01,01,01,05,00,06,05,00,00,00,00,00,00,00,00,04,03,00,00,04,03,00,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,53,00,00,00,00,00,00,04,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,05,00,00,00,00,00,00,04,01,01,01,01,01,01,01,01,0C,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,05,00,00
00,0E,01,01,01,0B,01,05,00,00,02,00,00,00,00,00,06,01,01,0D,00,00,00,04,01,01,0C,01,0B,01,0C,01,03,00,00,00,02,00,00,02,01,01,01,0C,01,01,01,01,01,01,01,01,0C,01,52,00,00,00,00,00,00,00,04,01,01,01,01,03,00,00,00,00,00,00,00,00,00,00,00,02,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,04,01,01,01,01,01,01,01,01,01,01,01,05,00,00,00,00,06,05,00,00,00,00,04,03,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05,00
00,0E,01,01,01,01,01,15,01,01,15,01,0C,01,01,44,00,00,04,03,00,00,04,03,00,00,06,05,00,00,06,05,00,00,00,00,02,00,00,00,00,00,04,03,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0E,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,00,06,05,00,00,00,00,06,05,00,00,00,02,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05
00,02,00,00,00,00,04,03,00,04,03,00,06,01,01,01,01,01,03,00,04,01,0B,01,01,01,0C,0B,05,00,00,02,00,00,00,02,0B,01,05,00,00,00,02,00,00,00,00,00,00,00,00,0E,05,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,02,06,01,01,0B,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,0C,01,01,0B,01,01,6B,00,00,00,00,04,01,01,01,01,01,15,01,01,01,01,01,15,01,01,01,15,01,01,01,01,01,01,01,01,15,01,01,01,01,01,01,01,29,01,01,01,01,01,01,01,01,01,01,05,00,00,00,02
00,02,00,00,04,01,03,00,04,03,00,00,00,00,00,00,00,00,00,00,02,00,00,00,00,00,06,05,06,05,00,06,05,00,00,00,00,00,06,05,00,00,02,00,00,00,00,00,00,00,00,02,06,01,29,01,01,0C,01,01,0B,01,01,01,01,01,05,00,00,00,00,00,00,00,00,00,00,00,04,0D,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,02,00,00,00,00,00,00,04,03,00,00,00,00,00,02,00,00,00,00,04,03,00,00,00,02,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05,00,00,02
00,02,00,04,03,00,00,04,03,00,00,00,04,01,01,01,01,01,01,01,0B,01,01,01,05,00,00,06,01,0B,01,01,0B,0C,01,01,01,01,01,0D,00,00,02,00,00,00,00,00,00,00,00,02,00,00,00,00,00,06,05,00,00,00,00,00,00,00,06,01,01,01,01,0C,01,01,01,01,01,01,03,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,00,02,00,00,00,00,00,04,03,00,00,00,00,00,04,0D,00,00,00,04,03,00,00,00,00,02,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05,00,02
00,02,00,02,00,00,04,03,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,00,06,05,00,00,04,03,00,00,04,03,00,00,00,00,04,03,00,00,02,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,06,01,01,01,01,01,05,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,00,00,02,00,00,00,00,04,03,00,00,00,00,00,04,03,06,05,00,04,03,00,00,04,01,01,15,01,01,01,01,01,01,01,01,15,01,01,01,01,01,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05,02
00,02,00,02,00,00,02,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,06,01,01,0B,01,01,01,0B,01,01,01,01,01,03,00,00,04,03,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,06,05,00,00,00,04,03,00,00,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,02,00,00,00,04,03,00,00,00,00,00,04,03,00,00,06,04,03,00,00,04,03,00,00,02,00,00,00,00,00,00,00,00,02,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,06,07
00,02,00,02,00,00,3C,00,00,00,00,02,00,00,00,00,00,00,00,00,04,01,01,01,01,01,01,01,01,01,01,01,0C,05,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,00,06,05,00,04,03,00,00,00,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,00,00,00,00,00,00,04,03,00,00,00,00,00,00,00,02,04,01,01,0B,01,01,01,01,01,01,03,00,00,00,04,06,00,00,04,03,00,00,04,03,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,06,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,02
